Year,Lake,Species,Grand_Total,Comments,Functional_Feeding_Group
1915,Erie,Yellow Perch,2975,,Invertivore
1916,Erie,Blue Pike,11919,,Piscivore
1916,Erie,Bullheads,453,,Benthic omnivore
1916,Erie,Burbot,247,,Piscivore
1916,Erie,Carp,6640,,Benthic omnivore
1916,Erie,Channel Catfish,794,,Benthic omnivore
1916,Erie,Channel Catfish and Bullheads,1269,,Benthic omnivore
1916,Erie,Cisco,13571,,Planktivore
1916,Erie,Freshwater Drum,2384,,Benthic invertivore
1916,Erie,Lake Sturgeon,105,,Benthic invertivore
1916,Erie,Lake Whitefish,2017,,Benthic invertivore
1916,Erie,Northern Pike,437,,Piscivore
1916,Erie,Sauger,6181,,Piscivore
1916,Erie,Suckers,1321,,Benthic omnivore
1916,Erie,Walleye,2630,,Piscivore
1916,Erie,White Bass,343,,Piscivore
1916,Erie,Yellow Perch,2407,,Invertivore
1917,Erie,Blue Pike,2171,,Piscivore
1917,Erie,Bullheads,139,,Benthic omnivore
1917,Erie,Burbot,31,,Piscivore
1917,Erie,Carp,6461,,Benthic omnivore
1917,Erie,Channel Catfish,2051,,Benthic omnivore
1917,Erie,Channel Catfish and Bullheads,2229,,Benthic omnivore
1917,Erie,Cisco,33624,,Planktivore
1917,Erie,Freshwater Drum,3013,,Benthic invertivore
1917,Erie,Lake Sturgeon,74,,Benthic invertivore
1917,Erie,Lake Whitefish,3017,,Benthic invertivore
1917,Erie,Northern Pike,142,,Piscivore
1917,Erie,Sauger,4334,,Piscivore
1917,Erie,Suckers,1058,,Benthic omnivore
1917,Erie,Walleye,1847,,Piscivore
1917,Erie,White Bass,333,,Piscivore
1917,Erie,Yellow Perch,2253,,Invertivore
1918,Erie,Blue Pike,2008,,Piscivore
1918,Erie,Bullheads,133,,Benthic omnivore
1918,Erie,Burbot,355,,Piscivore
1918,Erie,Carp,4884,,Benthic omnivore
1918,Erie,Channel Catfish,287,,Benthic omnivore
1918,Erie,Channel Catfish and Bullheads,468,,Benthic omnivore
1918,Erie,Cisco,48821,,Planktivore
1918,Erie,Freshwater Drum,2982,,Benthic invertivore
1918,Erie,Lake Sturgeon,67,,Benthic invertivore
1918,Erie,Lake Whitefish,2729,,Benthic invertivore
1918,Erie,Northern Pike,229,,Piscivore
1918,Erie,Sauger,2095,,Piscivore
1918,Erie,Suckers,911,,Benthic omnivore
1918,Erie,Walleye,1004,,Piscivore
1918,Erie,White Bass,129,,Piscivore
1918,Erie,Yellow Perch,3144,,Invertivore
